q_group,locality_bin,method,method_label,n_predicates,qerror_gm,qerror_mean,improvement_vs_stale_pct,win_vs_isomer_frac,tie_vs_isomer_frac
q=5,mid<= 0.15,proj_stale,Proj(stale)/ISOMER,2639,1.4235389945567611,1.5946662437011205,33.6212965916073,0.0,1.0
q=5,mid<= 0.15,oasis_no_proj,OASIS-noProj,2639,1.6453428848539855,1.9109741794942892,23.278724519353414,0.3626373626373626,0.0
q=5,mid<= 0.15,proj_oasis,Proj(OASIS),2639,1.4074547262157628,1.5750404159169495,34.371295630503,0.526335733232285,0.0
q=5,mid<= 0.15,proj_fresh,Proj(fresh),2639,1.1422582075959982,1.16441442357416,46.737237920605644,0.7961348995831754,0.0
q=5,mid<= 0.15,fresh,Fresh,2639,1.0,1.0,53.37064621186535,1.0,0.0
q=5,near<= 0.05,stale,Stale,4792,1.9376234676364623,2.4840067693124395,0.0,0.15254590984974958,0.0
q=5,near<= 0.05,proj_stale,Proj(stale)/ISOMER,4792,1.3245511127586154,1.4217620143573668,31.640427829132374,0.0,1.0
q=5,near<= 0.05,oasis_no_proj,OASIS-noProj,4792,1.4172428567763002,1.592170186557144,26.856642663134593,0.4330133555926544,0.0
q=5,near<= 0.05,proj_oasis,Proj(OASIS),4792,1.2930389358695724,1.391172986943734,33.266759127002224,0.5690734557595993,0.00020868113522537563
q=5,near<= 0.05,proj_fresh,Proj(fresh),4792,1.1741477612841167,1.2085642568571608,39.4026868018709,0.7280884808013356,0.00020868113522537563
q=5,near<= 0.05,fresh,Fresh,4792,1.0,1.0,48.39038560882973,1.0,0.0
