q,source,label,router_choice,count,fraction
25,lininterp,LinInterp,soft,78,0.609375
25,feedavg,FeedAvg,stale,1,0.0078125
25,feedavg,FeedAvg,isomer,27,0.2109375
25,feedavg,FeedAvg,noproj,1,0.0078125
25,feedavg,FeedAvg,hard,22,0.171875
25,feedavg,FeedAvg,soft,77,0.6015625
25,stholes,STHoles,stale,0,0.0
25,stholes,STHoles,isomer,18,0.140625
25,stholes,STHoles,noproj,5,0.0390625
25,stholes,STHoles,hard,34,0.265625
25,stholes,STHoles,soft,71,0.5546875
25,quicksel_h,QuickSel-H,stale,1,0.0078125
25,quicksel_h,QuickSel-H,isomer,17,0.1328125
25,quicksel_h,QuickSel-H,noproj,5,0.0390625
25,quicksel_h,QuickSel-H,hard,33,0.2578125
25,quicksel_h,QuickSel-H,soft,72,0.5625
25,oasis_mlp,OASIS MLP,stale,2,0.015625
25,oasis_mlp,OASIS MLP,isomer,29,0.2265625
25,oasis_mlp,OASIS MLP,noproj,8,0.0625
25,oasis_mlp,OASIS MLP,hard,31,0.2421875
25,oasis_mlp,OASIS MLP,soft,58,0.453125
30,stale,Stale prior,stale,1,0.0078125
30,stale,Stale prior,isomer,50,0.390625
30,stale,Stale prior,noproj,0,0.0
30,stale,Stale prior,hard,0,0.0
30,stale,Stale prior,soft,77,0.6015625
30,lininterp,LinInterp,stale,0,0.0
30,lininterp,LinInterp,isomer,32,0.25
30,lininterp,LinInterp,noproj,2,0.015625
30,lininterp,LinInterp,hard,23,0.1796875
30,lininterp,LinInterp,soft,71,0.5546875
30,feedavg,FeedAvg,stale,1,0.0078125
30,feedavg,FeedAvg,isomer,32,0.25
30,feedavg,FeedAvg,noproj,0,0.0
30,feedavg,FeedAvg,hard,23,0.1796875
30,feedavg,FeedAvg,soft,72,0.5625
30,stholes,STHoles,stale,0,0.0
30,stholes,STHoles,isomer,18,0.140625
30,stholes,STHoles,noproj,7,0.0546875
30,stholes,STHoles,hard,34,0.265625
30,stholes,STHoles,soft,69,0.5390625
30,quicksel_h,QuickSel-H,stale,0,0.0
30,quicksel_h,QuickSel-H,isomer,20,0.15625
30,quicksel_h,QuickSel-H,noproj,4,0.03125
30,quicksel_h,QuickSel-H,hard,20,0.15625
30,quicksel_h,QuickSel-H,soft,84,0.65625
30,oasis_mlp,OASIS MLP,stale,1,0.0078125
30,oasis_mlp,OASIS MLP,isomer,25,0.1953125
30,oasis_mlp,OASIS MLP,noproj,14,0.109375
30,oasis_mlp,OASIS MLP,hard,24,0.1875
30,oasis_mlp,OASIS MLP,soft,64,0.5
