config_id,seed,row_count,dim_rows,drift_family,query_id,family,predicate_id,predicate_type,value,value_upper,true_rows,method,plan_rows,row_qerr,total_cost,startup_cost,root_node,scan_nodes,join_nodes,plan_signature
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,scan:ge_0.006,scan,ge_0.006,>=,0.979631799690628,,1,stale,2193.0,2193.0,1286.55,27.92,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join:ge_0.006,join,ge_0.006,>=,0.979631799690628,,1,stale,2193.0,2193.0,1642.31,377.92,Hash Join,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Seq Scan:dim,Hash Join:Inner,[Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Hash][Seq Scan;Relation Name=dim]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join_dim_filter:ge_0.006,join_dim_filter,ge_0.006,>=,0.979631799690628,,0,stale,329.0,329.0,1436.04,171.65,Hash Join,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Bitmap Heap Scan:dim|Bitmap Index Scan:dim_payload_idx,Hash Join:Inner,[Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Hash][Bitmap Heap Scan;Relation Name=dim][Bitmap Index Scan;Index Name=dim_payload_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,scan:ge_0.012,scan,ge_0.012,>=,0.9592635993812559,,3,stale,6997.0,2332.3333333333335,1500.11,84.65,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join:ge_0.012,join,ge_0.012,>=,0.9592635993812559,,3,stale,6997.0,2332.3333333333335,1868.49,434.65,Hash Join,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Seq Scan:dim,Hash Join:Inner,[Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Hash][Seq Scan;Relation Name=dim]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join_dim_filter:ge_0.012,join_dim_filter,ge_0.012,>=,0.9592635993812559,,0,stale,1050.0,1050.0,1662.22,228.38,Hash Join,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Bitmap Heap Scan:dim|Bitmap Index Scan:dim_payload_idx,Hash Join:Inner,[Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Hash][Bitmap Heap Scan;Relation Name=dim][Bitmap Index Scan;Index Name=dim_payload_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,scan:ge_0.025,scan,ge_0.025,>=,0.9151324987109498,,50,stale,22450.0,449.0,1876.03,267.41,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join:ge_0.025,join,ge_0.025,>=,0.9151324987109498,,50,stale,22450.0,449.0,2284.99,617.41,Hash Join,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Seq Scan:dim,Hash Join:Inner,[Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Hash][Seq Scan;Relation Name=dim]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join_dim_filter:ge_0.025,join_dim_filter,ge_0.025,>=,0.9151324987109498,,7,stale,3368.0,481.14285714285717,2078.72,411.14,Hash Join,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Bitmap Heap Scan:dim|Bitmap Index Scan:dim_payload_idx,Hash Join:Inner,[Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Hash][Bitmap Heap Scan;Relation Name=dim][Bitmap Index Scan;Index Name=dim_payload_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,scan:ge_0.045,scan,ge_0.045,>=,0.8472384976797097,,570,stale,51134.0,89.70877192982456,2575.38,608.21,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join:ge_0.045,join,ge_0.045,>=,0.8472384976797097,,570,stale,51134.0,89.70877192982456,3059.65,958.21,Hash Join,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Seq Scan:dim,Hash Join:Inner,[Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Hash][Seq Scan;Relation Name=dim]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join_dim_filter:ge_0.045,join_dim_filter,ge_0.045,>=,0.8472384976797097,,90,stale,7670.0,85.22222222222223,2853.39,751.94,Hash Join,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Bitmap Heap Scan:dim|Bitmap Index Scan:dim_payload_idx,Hash Join:Inner,[Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Hash][Bitmap Heap Scan;Relation Name=dim][Bitmap Index Scan;Index Name=dim_payload_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,scan:ge_0.075,scan,ge_0.075,>=,0.74539749613285,,6787,stale,91632.0,13.501105053779284,3563.47,1090.07,Bitmap Heap Scan,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx,,[Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join:ge_0.075,join,ge_0.075,>=,0.74539749613285,,6787,stale,91632.0,13.501105053779284,4154.09,1440.07,Hash Join,Bitmap Heap Scan:fact|Bitmap Index Scan:fact_x_idx|Seq Scan:dim,Hash Join:Inner,[Hash Join;Join Type=Inner][Bitmap Heap Scan;Relation Name=fact][Bitmap Index Scan;Index Name=fact_x_idx][Hash][Seq Scan;Relation Name=dim]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,join_dim_filter:ge_0.075,join_dim_filter,ge_0.075,>=,0.74539749613285,,1009,stale,13745.0,13.622398414271556,3704.72,19.03,Nested Loop,Bitmap Heap Scan:dim|Bitmap Index Scan:dim_payload_idx|Index Scan:fact:fact_dim_idx,Nested Loop:Inner,[Nested Loop;Join Type=Inner][Bitmap Heap Scan;Relation Name=dim][Bitmap Index Scan;Index Name=dim_payload_idx][Index Scan;Relation Name=fact;Index Name=fact_dim_idx]
left_shift_rows200000_seed20260530,20260530,200000,12000,left_shift,scan:ge_0.11,scan,ge_0.11,>=,0.6427163978864541,,23059,stale,126524.0,5.4869682119779695,3828.0,0.0,Seq Scan,Seq Scan:fact,,[Seq Scan;Relation Name=fact]
